Results of 1D convection diffusion simulation using FE methods 
 Temp_begin 	 Temp_end 	 node_1 	 node_2 	 node_3 	 node_4 	 node_5 	 node_6 
0.000000 	 74.000000 	 0.000000 	 3.060415 	 8.686901 	 19.078946 	 38.321315 	 74.000000 
0.000000 	 75.000000 	 0.000000 	 3.101054 	 8.803013 	 19.335221 	 38.837894 	 75.000000 
0.000000 	 76.000000 	 0.000000 	 3.141694 	 8.919125 	 19.591496 	 39.354473 	 76.000000 
0.000000 	 77.000000 	 0.000000 	 3.182333 	 9.035236 	 19.847772 	 39.871052 	 77.000000 
0.000000 	 78.000000 	 0.000000 	 3.222972 	 9.151348 	 20.104047 	 40.387631 	 78.000000 
0.000000 	 79.000000 	 0.000000 	 3.263611 	 9.267460 	 20.360322 	 40.904209 	 79.000000 
0.000000 	 80.000000 	 0.000000 	 3.304250 	 9.383572 	 20.616598 	 41.420788 	 80.000000 
0.000000 	 81.000000 	 0.000000 	 3.344889 	 9.499683 	 20.872873 	 41.937367 	 81.000000 
0.000000 	 82.000000 	 0.000000 	 3.385528 	 9.615795 	 21.129148 	 42.453946 	 82.000000 
0.000000 	 83.000000 	 0.000000 	 3.426167 	 9.731907 	 21.385423 	 42.970525 	 83.000000 
0.000000 	 84.000000 	 0.000000 	 3.466807 	 9.848019 	 21.641699 	 43.487104 	 84.000000 
0.000000 	 85.000000 	 0.000000 	 3.507446 	 9.964131 	 21.897974 	 44.003683 	 85.000000 
0.000000 	 86.000000 	 0.000000 	 3.548085 	 10.080242 	 22.154249 	 44.520262 	 86.000000 
0.000000 	 87.000000 	 0.000000 	 3.588724 	 10.196354 	 22.410525 	 45.036841 	 87.000000 
0.000000 	 88.000000 	 0.000000 	 3.629363 	 10.312466 	 22.666800 	 45.553420 	 88.000000 
0.000000 	 89.000000 	 0.000000 	 3.670002 	 10.428578 	 22.923075 	 46.069999 	 89.000000 
0.000000 	 90.000000 	 0.000000 	 3.710641 	 10.544689 	 23.179350 	 46.586578 	 90.000000 
0.000000 	 91.000000 	 0.000000 	 3.751280 	 10.660801 	 23.435626 	 47.103157 	 91.000000 
0.000000 	 92.000000 	 0.000000 	 3.791920 	 10.776913 	 23.691901 	 47.619736 	 92.000000 
0.000000 	 93.000000 	 0.000000 	 3.832559 	 10.893025 	 23.948176 	 48.136315 	 93.000000 
0.000000 	 94.000000 	 0.000000 	 3.873198 	 11.009137 	 24.204452 	 48.652893 	 94.000000 
0.000000 	 95.000000 	 0.000000 	 3.913837 	 11.125248 	 24.460727 	 49.169472 	 95.000000 
0.000000 	 96.000000 	 0.000000 	 3.954476 	 11.241360 	 24.717002 	 49.686051 	 96.000000 
0.000000 	 97.000000 	 0.000000 	 3.995115 	 11.357472 	 24.973277 	 50.202630 	 97.000000 
0.000000 	 98.000000 	 0.000000 	 4.035754 	 11.473584 	 25.229553 	 50.719209 	 98.000000 
0.000000 	 99.000000 	 0.000000 	 4.076393 	 11.589696 	 25.485828 	 51.235788 	 99.000000 
0.000000 	 100.000000 	 0.000000 	 4.117033 	 11.705807 	 25.742103 	 51.752367 	 100.000000 
0.000000 	 101.000000 	 0.000000 	 4.157672 	 11.821919 	 25.998378 	 52.268946 	 101.000000 
0.000000 	 102.000000 	 0.000000 	 4.198311 	 11.938031 	 26.254654 	 52.785525 	 102.000000 
0.000000 	 103.000000 	 0.000000 	 4.238950 	 12.054143 	 26.510929 	 53.302104 	 103.000000 
0.000000 	 104.000000 	 0.000000 	 4.279589 	 12.170254 	 26.767204 	 53.818683 	 104.000000 
0.000000 	 105.000000 	 0.000000 	 4.320228 	 12.286366 	 27.023480 	 54.335262 	 105.000000 
0.000000 	 106.000000 	 0.000000 	 4.360867 	 12.402478 	 27.279755 	 54.851841 	 106.000000 
0.000000 	 107.000000 	 0.000000 	 4.401506 	 12.518590 	 27.536030 	 55.368420 	 107.000000 
0.000000 	 108.000000 	 0.000000 	 4.442146 	 12.634702 	 27.792305 	 55.884999 	 108.000000 
0.000000 	 109.000000 	 0.000000 	 4.482785 	 12.750813 	 28.048581 	 56.401577 	 109.000000 
0.000000 	 110.000000 	 0.000000 	 4.523424 	 12.866925 	 28.304856 	 56.918156 	 110.000000 
0.000000 	 111.000000 	 0.000000 	 4.564063 	 12.983037 	 28.561131 	 57.434735 	 111.000000 
