Absolute Time Status	N/A			
Absolute Time Source	PC			
Absolute Time	2019-08-02 14:32:38 ms 477.896			
Socket ID	2017122006:T1			
Module serial number	2017122006			
Module ID	M0			
Position ID	T1			
HW Range	24 V			
User Range	24 V			
PhysicalChannelId	Tacho1			
Channel group	Tacho			
Channelgroup	Tacho			
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	1			
Channel name	T1			
DOF id	raw:Tacho1			
Point direction sign				
Point direction absolute	None			
Point direction	None			
Point id node	Tacho1			
Point id component				
Point id	raw:Tacho1			
Minimum Rotational Speed	600 rpm			
Lower Limit EU	600 rpm			
Upper Limit EU	6000 rpm			
          1.240000000e+02	          2.513713442e+00			
          1.250000000e+02	          2.533838878e+00			
          1.260000000e+02	          2.553964363e+00			
          1.270000000e+02	          2.574089837e+00			
          1.280000000e+02	          2.594215377e+00			
          1.290000000e+02	          2.614340807e+00			
          1.300000000e+02	          2.634466289e+00			
          1.310000000e+02	          2.654591804e+00			
          1.320000000e+02	          2.674842243e+00			
          1.330000000e+02	          2.694967742e+00			
          1.340000000e+02	          2.715093201e+00			
          1.350000000e+02	          2.735218662e+00			
          1.360000000e+02	          2.755344180e+00			
          1.370000000e+02	          2.775469688e+00			
          1.380000000e+02	          2.795720079e+00			
          1.390000000e+02	          2.815845535e+00			
